parameter_1,parameter_2,local_sensitivity_profile_correlation
beta_M,gamma_M,1.0
beta_V,gamma_M,-0.2
gamma_C,gamma_M,-0.19999999999999998
gamma_M,gamma_M,1.0
gamma_V,gamma_M,-0.19999999999999998
alpha_A,gamma_V,-0.2
alpha_C,gamma_V,-0.2
alpha_F,gamma_V,-0.2
alpha_I,gamma_V,-0.2
alpha_M,gamma_V,-0.20000000000000004
alpha_V,gamma_V,1.0
beta_A,gamma_V,-0.19999999999999998
beta_C,gamma_V,-0.19999999999999998
beta_F,gamma_V,-0.19999999999999996
beta_I,gamma_V,-0.2
beta_M,gamma_V,-0.19999999999999998
beta_V,gamma_V,1.0
gamma_C,gamma_V,-0.19999999999999998
gamma_M,gamma_V,-0.19999999999999998
gamma_V,gamma_V,1.0
